subject,comment,contributor,Date
"Slave Population of U.S. States and Territories: 1790, 1820, 1860",i am An 8th Grader and this info helped me do...,,11/13/2007 0:00
"Slave Population of U.S. States and Territories: 1790, 1820, 1860",this site really helps for history information,,11/14/2007 0:00
"Slave Population of U.S. States and Territories: 1790, 1820, 1860",Imagine the freedom California and Texas would enjoy now and throughout...,,12/7/2009 0:00
SM OPD Questionnaire - Pie Chart,Test Waiting Area,ChrisCole,4/15/2009 0:00
SM OPD Questionnaire - Pie Chart,Test - Rooms Seen,ChrisCole,4/15/2009 0:00
SM OPD Questionnaire - Pie Chart,Test - Timing,ChrisCole,4/15/2009 0:00
SM OPD Questionnaire - Pie Chart,Test - Communication,ChrisCole,4/15/2009 0:00
SM OPD Questionnaire - Pie Chart,Test - Involvement,ChrisCole,4/15/2009 0:00
Smarter Leben - Welcher Rolle ist mir wichtig?,"Ich meinte natürlich ""Work LIFE Integration""!",EGebhardt,2/3/2010 0:00
Smoking Rates,hjkhkhkj,eileen,8/26/2007 0:00
Smoking rates affecting population mortality?,"Its not clear what rate per 100K is. Also, this...",,5/10/2007 0:00
Smoking status of Virginia restaurants by county,so where can I find smoking facilities?,,12/7/2009 0:00
Smote by Him (including flood),"interesting! nice one! god, please delete this page before some one...",,3/14/2008 0:00
snack3,"Same network, no crossing lines",Belarius,4/7/2008 0:00
Snake,The maximum hits encountered so far. Max hit count:189,Sapana,8/10/2009 0:00
snapshot of the tags in qblog,"Looks a bit messy and tags are grouped incorrectly :( Anyways,...",Dmitry Dzhus,6/22/2007 0:00
Snapshot: Nontaxable Mass. property as a percent of total,Why are some towns missing? My town is a hole...,,2/24/2010 0:00
Snapshot: Nontaxable Mass. property as a percent of total,Towns shown with no color do not have the data available....,,2/24/2010 0:00
Snapshot: Nontaxable Mass. property as a percent of total,What is in Huntington that accounts for 40% of it's land...,,2/24/2010 0:00
Snapshot: Nontaxable Mass. property as a percent of total,Many of the towns with high tax exempt % have state...,,2/24/2010 0:00
SOC_356: Social Kids on Social Networking Sites,ManyEyes would not allow me to login when I made this....,azeelie,3/14/2008 0:00
SOC_356: Social Kids on Social Networking Sites,It surprised me that in person out of school contact was...,ln.d,3/16/2008 0:00
soc356: Self Searching By FB/myspace users and the Amount of Worrying about their Available Info Online,This visualization works better with what I'm trying to say: FB...,crystal_mist,3/18/2008 0:00
Social Media 11-08,based on stats from http://www.techcrunch.com/2008/12/31/top-social-media-sites-of-2008-facebook-still-rising/,Julie Anne Reda,1/28/2009 0:00
Social Net of those with 100 to 500 points,The medium points 'clump',Frank van Ham,2/29/2008 0:00
Social Network Final,The horizontal ties represent an mutual and known relationship. Any...,thesauce25,3/7/2009 0:00
Social Network Monthly Visitors (April 2007),myspace is huge!,Jesse,6/28/2007 0:00
Social Network Monthly Visitors (April 2007),Where'd this data come from? I am surprised by the low...,sameerh,6/29/2007 0:00
Social Network Monthly Visitors (April 2007),http://imgs.xkcd.com/comics/online_communities.png :),Dmitry Dzhus,6/30/2007 0:00
Social Network Monthly Visitors (April 2007),I wonder how long until facebook takes over!,Satwik,7/3/2007 0:00
Social Network Monthly Visitors (April 2007),I don't know why LinkedIn is not on the list. According...,Martin Wattenberg,7/9/2007 0:00
Social network sites by country with internet users and site ranking,"Mike, this is very interesting. I knew about Orkut and Brazil...",,12/19/2007 0:00
Social network sites by country with internet users and site ranking,"Interesting, but I find it VERY hard to believe that SKYROCK...",,2/25/2010 0:00
Social Networking Site Participation by Cyberbullying Experience,This visualization shows that 78% of those who have had both...,juliam,3/15/2008 0:00
Social Networking Site Participation by Cyberbullying Experience,Your matrix seems to have quite a high percentage. Maybe...,Suzie.Lowe,3/19/2008 0:00
Social Networking Site Participation by Cyberbullying Experience,"As you can see from this new visualization, using social networking...",juliam,3/20/2008 0:00
Social Networking Site Participation by Cyberbullying Experience,You're graph is quite interesting and I noticed that this is...,,1/29/2010 0:00
social networking sites and embarassing pictures posted,It is interesting that this chart indicates that girls who use...,Tash,3/22/2008 0:00
Social Networks in the world (June 2009),test,,6/9/2009 0:00
Social Networks in the world (June 2009),test2,,6/9/2009 0:00
Social networks popularity world map,The world map is a colour coded map with each social...,Mike Lupu,1/12/2008 0:00
Social networks popularity world map,"Probably because we're so used to these representations of the world,...",,2/28/2008 0:00
Social networks popularity world map,"Difficult to find smaller countries when a site is selected (e.g.,...",,2/29/2008 0:00
Social networks popularity world map,Social networking is influencing other online user behavior. This site AdsGlobe.com...,,9/9/2009 0:00
Social Networks Treemap Feb 2008,Using color for rank is perhaps redundant here.,,2/22/2008 0:00
Social Networks Treemap Feb 2008,"Putting ""site"" at the top of the hierarchy is revealing. Facebook...",,2/22/2008 0:00
Social Ties and ICTs by Internet Use,"The visualization shows that Internet users, on average, more than non-Internet...",Veronica,3/21/2008 0:00
Social Ties and ICTs by Internet Use,"Interesting graph. However, it seems that participants with somewhat close ties...",Kutz,3/23/2008 0:00
Soft Toy Matrix Visualisation,fail.com,martha the great,3/10/2009 0:00
Software Usage,Recorded data from 1/18 - 1/22. Numbers are usage in...,Media usage,1/23/2008 0:00
Some BIG-CONCEPTS,"U can see how words like ""UN"", ""IRAQ POPULATION"", ""BUSH"", ""SADDAM...",danielegaliffa,10/23/2007 0:00
Some BIG-CONCEPTS,"Using a ""One word Tag Cloud"", instead u get other general...",danielegaliffa,10/23/2007 0:00
Some think they are just hipsters,Tight skinny jeans.,Lee Byron,11/28/2007 0:00
Somewhat close method of contact vs gender,this visualization signifies that men are more likely to interact using...,jenny,3/24/2008 0:00
Sound Absorption line graph,"with the ""relative"" box checked, you can see the difference in...",Jesse,1/23/2007 0:00
South African Test data,Look at this now!,Lev,6/28/2007 0:00
South America: Socio-Economic Indicators,This was in back in 1993. Does anyone have more recent...,Fernanda B. Viegas,4/6/2007 0:00
spamliminal messages,I find it fascinating that the words floating to the top...,tophe,3/14/2007 0:00
spamliminal messages part 2,This is an interesting comparison to the prior visualization. Instead of...,tophe,3/14/2007 0:00
Speaking about itself,It seems Veltroni spoke just about the new party... Very...,,10/22/2007 0:00
Speech events,In order to maintain an active communication link across the 430...,,4/5/2009 0:00
Speeches by Gov. Jon S. Corzine,This doesn't work,,10/4/2009 0:00
"SPEED OF INFORMATION TRAVEL TO LONDON, 1798-1914 (Clark, 2007)",The idea to create this graph was inspired by a blog...,bob.reuter,9/10/2009 0:00
Spending,"Is ""Media"" what a layperson would call ""advertising""? And is ""Voter...",Martin Wattenberg,8/3/2007 0:00
Spending,See also this visualization of the same data: ...,Martin Wattenberg,8/3/2007 0:00
Spending,"Mitt Romney is, by far, the leader of media/polling/voter contact spending....",Fernanda B. Viegas,8/24/2007 0:00
Spending,Whereas Hillary seems to focus a lot more on events.,Fernanda B. Viegas,8/24/2007 0:00
Spending,"Sorry for being slow on the uptake. ""Media"" in this case...",pilhofer,8/25/2007 0:00
Spending,"Thank-you, Martin Wattenberg, for the alternative view of the same info....",,10/24/2007 0:00
Spending,Thanks for a very interesting multiple pie-chart based visualization. You have...,Diablo,12/2/2007 0:00
spending,test,Irene Ros,10/27/2009 0:00
Spending breakdown South America,"Argentina, Uruguay, and Venzuela all spend more on alcohol and tobacco...",hawkmc,3/10/2010 0:00
Spending map,First post!!!,,9/25/2008 0:00
spending map,What exactly is this showing? There needs to be a key...,,11/20/2009 0:00
Spider-Man,A smaller one Taking the bio text from people connected to...,ortegatron,1/29/2009 0:00
"Spokane police SIU expenditures, 1991-94, 1996-2008",This stupid graphic doesn't work,,9/15/2009 0:00
"SPPS Elementary Schools, Reading vs. Poverty",General trend of higher poverty == lower scores is no surprise....,David Wein,1/25/2010 0:00
Spring 2007 Course Load (by unit),Just trying out Many Eyes with some handy data.,Felicitaz,1/27/2007 0:00
Stack graph,% of items,Kajol,9/16/2009 0:00
Stack Graph esg,"Hi, can this graph be used for categories (more than...",,5/22/2009 0:00
Stack Graph For Category SDS 3 - With All Zero's And Blank Value,testing the stack graph for categories,Kajol,9/16/2009 0:00
Stack graph for MotoGP podium time gaps averages,The spreadsheet of data is now at http://spreadsheets.google.com/ccc?key=po1Bw2feVa3mcS1QaJjg4aA&hl=en,,9/29/2008 0:00
Stack Graph of high school drop out rates by race.,I COME FROM MARS,,3/5/2010 0:00
Stack Graph of US gasoline prices,how about a way to sort the categories by who changed...,Anonymous,1/25/2007 0:00
Stack Graph: Change in CO2 Emissions by State (1990 - 2003),"This graph has so many different interesting views. In general,...",0c73d86e-ad2f-11dd-84b8-000255111976,6/26/2007 0:00
Stack Graph: Presidential Campaign Finances-- Primary Campaign Receipts and Disbursements: 1979 to 2004,Look at the Democratic contributions skyrocket.,Anonymous,1/26/2007 0:00
Stack Graph: Reliability of Alpine Snow vs. Temperature Increase (Celsius),Winter temperatures in the Alps are increasing more rapidly than temperatures...,0c73d86e-ad2f-11dd-84b8-000255111976,6/22/2007 0:00
Stakeholder analysis Penn State ANGEL and eLION information systems,Advertisement comes with graphic designing and it is the visual ...,,12/8/2008 0:00
Star Size Comparisons,I love this! (and I like how you phrase the measure...,Martin Wattenberg,3/14/2007 0:00
Star Size Comparisons,This is a nice visualization and a good way to array...,cenizo99,3/17/2007 0:00
Star Size Comparisons,What about W Cephi?,,5/8/2007 0:00
Star Size Comparisons,cool :),,10/29/2007 0:00
Star Size Comparisons,This is great!,,8/29/2009 0:00
Start where you are',This is awesome!,,7/10/2009 0:00
Starting Material Treemap,Starting Material and Product Treemap,JeffH,10/14/2008 0:00
State Budget Deficit Map (2010 Estimates),I doubt if this visualization is very useful because it gives...,,3/4/2010 0:00
State Budget Deficit Map (2010 Estimates),"Perhaps a ""per capita"" or a ""as a percentage of the...",,3/10/2010 0:00
State Budget Deficits (2010 Estimates),"Really, I want to see this per capita. This could...",,6/23/2009 0:00
State Budget Deficits (2010 Estimates),Actually it should be the deficit as a percent of GSP...,,6/23/2009 0:00
State Budget Deficits (2010 Estimates),States should pay down their deficits with a tax on land...,,11/17/2009 0:00
State Budget Deficits (2010 Estimates),Looks like 52 state failures to me! Doesn't matter that both...,,2/23/2010 0:00
State Data Scatterplot,New Jersey gets surprisingly little spending.,Martin Wattenberg,1/11/2007 0:00
State deficits per capita compared to 2008 vote,"Total Stimulus McCain States: $6,978,704,904.17 Total Stimulus Obama States: $12,873,109,808.64...",sshen81,7/16/2009 0:00
State Distributions,Distributions of what exactly?,,3/8/2007 0:00
"State gasoline taxes in cents, 1986-2006.",it's hard to catch the trend of gasoline taxes,ruiwangwarm,2/6/2008 0:00
state map of per capita beer consumption,This would be more meaningful if we knew over what period...,,3/29/2009 0:00
state map of per capita beer consumption,Is this based on sales? If so New Hampshire is...,,4/14/2009 0:00
State of the Union 2002 vs 2003,great,,5/8/2008 0:00
State of the Union 2002 vs 2003,I am excited about this tool. I do not really know...,Word To The Eyes,6/9/2008 0:00
State of the Union 2002 vs 2003,great work,,11/21/2008 0:00
State of the Union 2007,"All over the world, applause seems to be the main thing...",Fernanda B. Viegas,3/7/2007 0:00
State of the Union 2007,"Well... Everyone needs motivation. Even presidents... Actually, specially presidents",maiona,3/7/2007 0:00
State of the Union 2007,"I'd fix it, but it's too funny.",OJCIT,3/27/2007 0:00
State of the Union 2007,Could be worse. I knew a Soviet emigre who said he...,Martin Wattenberg,3/27/2007 0:00
"State of the Union, 1944","Interesting how rare the mention of Germany or Japan are, as...",WarrenA,3/12/2007 0:00
State Population Ranking by Population Size,"Not K but M??? That is, California's population isn't 36,000...",,9/13/2008 0:00
State primary timing: Democrat vs. Republican,The off-diagonal dots are states where the Republican and Democratic primaries...,Martin Wattenberg,11/27/2007 0:00
State unemployment insurance reserves in 2008 Q4 (in years),cseligo,,
Statehouse Reporters in 2003 and 2009,"Interesting. Is this staff reporters, or journalists? I'd love to know....",gusandrews,6/14/2009 0:00
Statistic of Students at the University of Konstanz (Bubble),Nur 1 Informatiker im Sommersemester 2008!,VisDat,6/1/2008 0:00
Statistics by Source,Wow... I actually laughed out loud at this one... Keep up...,DoomBW,3/11/2007 0:00
Status of U.S. Bridges by Year Built,"From www.bts.gov: ""Structurally deficient bridges are defined as those needing significant...",Susanne,8/3/2007 0:00
Status of U.S. Bridges by Year Built,"In this view, it looks like, since 1997, the percentage of...",Fernanda B. Viegas,8/3/2007 0:00
Status of U.S. Bridges by Year Built,The numbers in each time range are a count of the...,Susanne,8/3/2007 0:00
Status of U.S. Bridges by Year Built,"When you look at all the states together, you can clearly...",Fernanda B. Viegas,8/3/2007 0:00
Status of U.S. Bridges by Year Built,test,ksmith,8/6/2007 0:00
Stavridis Blog Content in a Tag Cloud,Testing this tool. Very cool.,bigge,6/29/2009 0:00
Steely Dan Lyrics,"All I can say is ""Cerebral"".",David H.,9/25/2008 0:00
Stimulus - Where's the money going?,"Hi Anonymous, Your work looks great here and I'd love...",dnklatt,2/3/2009 0:00
Stimulus Bill: Where the Money Would Go,Just vote NO.,,1/28/2009 0:00
Stimulus Bill: Where the Money Would Go,"wow, what a waste of time and money... seriously?",,1/28/2009 0:00
Stimulus Bill: Where the Money Would Go,Anonymous would rather have everyone sell apples and pencils.,,1/28/2009 0:00
Stimulus Bill: Where the Money Would Go,"That tiny little boxes in the corner ""Science and Technology"" is...",,1/29/2009 0:00
Stimulus Bill: Where the Money Would Go,Do you have a Toilet Bowl Visualization Graphic?,,1/29/2009 0:00
Stimulus Bill: Where the Money Would Go,It's a shame to see so much going to tax cuts...,,2/8/2009 0:00
Stimulus Bill: Where the Money Would Go,Great visual IBM. I would’ve guessed that a plan with tax...,Sirach,2/9/2009 0:00
Stimulus Bill: Where the Money Would Go,"Well, rising taxes are not an egzotic thing, because of crisis...",,9/21/2009 0:00
Stimulus Bill: Where the Money Would Go,"Well, rising taxes are not an egzotic thing, because of crisis...",,9/21/2009 0:00
Stimulus Bill: Where the Money Would Go v2,"If you notice, the smallest project is Accountability. Which is...",,2/3/2009 0:00
Stimulus Bill: Where the Money Would Go v2,"yes, please, please, an updated chart... this is the single best...",,4/15/2009 0:00
Stimulus Bill: Where the Money Would Go v2,test,Irene Ros,8/11/2009 0:00
Stimulus Plans: House vs. Senate,This is really well-conceived and extremely useful. Thank you! ...,,2/12/2009 0:00
Stock data,Highpoint,Frank van Ham,4/27/2009 0:00
Stores by State,usa bubles !!!,,2/24/2010 0:00
Streets within the UGB,"tommy@tommyalbo.org, cwcwong@yahoo.com, christinaalbo@gmail.com",maekhong@gmail.com,9/29/2008 0:00
Streets within the UGB,something that sidetracked me today,maekhong@gmail.com,9/29/2008 0:00
Streets within the UGB,something that sidetracked me today,maekhong@gmail.com,9/29/2008 0:00
Stress Test Results and What Banks Need to Raise,This is excellent- thanks Graham,MrKarl,8/5/2009 0:00
Strictness index,Note that the source for this map is based on two...,Martin Wattenberg,4/10/2008 0:00
Strictness index,This would benefit from a small multiple comparison of states voted...,demaws,4/16/2008 0:00
Strictness index,"This is essentially a measure of incarceration vs crimes committed, right?...",,4/16/2008 0:00
Structurally Deficient Bridges by Structure Type,"From www.bts.gov: ""Structurally deficient bridges are defined as those needing significant...",Susanne,8/3/2007 0:00
Student anonymity academic record,It's my first time use Many Eyes. Is there a way...,Silvia,3/29/2008 0:00
Student GPA vs Days Absent,I have been playing with the data in Excel and thought...,nruzycki,9/8/2008 0:00
Student Loan Debt by Degree,this is highly inaccurate. I have a BS degree with a...,,9/3/2009 0:00
"Student Loan Debt Incurred, bubble chart","It looks like a student can plan for a $100,000 debt...",grjenkin,2/20/2007 0:00
Studierende und ihre Studiengänge an der UPB,toll,der_raffi,4/19/2009 0:00
"Submissions to spec fiction magazines, Jan 2004 to current",Hm. I know Jed Hartman has posted some about that...,jonhansen,4/4/2007 0:00
Subway Restaurants Worldwide,Unfortunately the number of restaurants in the United States colours the...,colm,6/28/2007 0:00
successful network diagram of test dataset,This might obvious to some but: the network diagraam applet requires...,j_desmond_f,4/21/2009 0:00
Suicide and marital status,shit visualisation,,10/27/2009 0:00
Suicide Notes Mix,Nice,cseligo,2/14/2008 0:00
Suicide Rates and Religion in Europe 19th century after Durkheim,The higher sense of individuality (and thus less feeling of being...,cengel,2/8/2008 0:00
Suicide Rates US for different Age Groups,Check out the difference in the distribution for Male and Female....,cengel,2/13/2008 0:00
Suicide Rates US for different Age Groups and Race,Compare this ......,cengel,2/13/2008 0:00
Suicide Rates US for different Age Groups and Race,..... with this,cengel,2/13/2008 0:00
Suicide Rates US per States for different Years,There seem to be some annoying outliers in the data,cengel,2/13/2008 0:00
"Suicides per 100,000 (All States Averaged) 1940-2000","I put this up just for comparison to the Durkheim data,...",cseligo,2/9/2008 0:00
"Suida-Manning Comments :: Word Tree (Try typing other tags into the ""search"" field [and hit enter/return key ] for different permutations)","The tags ""box"" and ""drawer"" are perhaps the most illuminating of...",lizseramur,3/30/2009 0:00
Suida-Manning Media Pie Chart,Love it! It's interesting to see that photos and prints...,elspeth,4/6/2009 0:00
Suida-Manning Preservation Survey Word Cloud for comments section,"Liz, this is a wonderful word cloud of our survey...",elspeth,3/30/2009 0:00
Suida-Manning: Percentage of Sample with Archival Problems,"I like this visualization, Beth!",elspeth,4/6/2009 0:00
"Summary of State of the Union Address, January 27, 2010",Interesting,,1/28/2010 0:00
Summer and Winter Olympic Games Medal Count: 1896-2006,nice!,,7/1/2008 0:00
Summer and Winter Olympic Games Medal Count: 1896-2006,Italy is third? really?,,7/2/2008 0:00
Summer and Winter Olympic Games Medal Count: 1896-2006,Very nice. The abbreviation for Soviet Union is USSR (Union of...,,7/14/2008 0:00
Summer and Winter Olympic Games Medal Count: 1896-2006,I newver knew Soviet Union was second.,,1/22/2009 0:00
Summer and Winter Olympic Games Medal Count: 1896-2006,East Germany beats West Germany,,2/11/2010 0:00
Summer Olympic Games Medal Count by Year: Total (1896-2004),Where are the East and West Germany medals?,,6/21/2008 0:00
Summer Olympic Games Medal Count by Year: Total (1896-2004),"Hi. Data for East Germany, United Team of Germany, and West...",SaraL,6/23/2008 0:00
Summer Olympic Games Medal Count by Year: Total (1896-2004),Having the Olympics at home makes a difference to the result....,,8/22/2008 0:00
Summer Olympic Games Medal Count by Year: Total (1896-2004),the year labels are off compared to the data (at least...,,9/11/2008 0:00
Summer Olympic Games Medal Count by Year: Total (1896-2004),Very nice. The Soviet Union and Unified...,,10/8/2008 0:00
Sun and Planets size :),i looooooooooooooooove this.,,11/18/2009 0:00
Sun and Planets size :),Would e better if it was to scale!,,11/18/2009 0:00
Surnames favored by Asians/Pacific Islanders,So there are a few interesting conclusions we can draw from...,pkinnaird,2/12/2009 0:00
Surnames favored by Asians/Pacific Islanders,I elected to leave both color and size on the same...,,2/12/2009 0:00
Survival on the Titanic,"In case the labels aren't clear: ""No"" and ""Yes"" refer to...",Martin Wattenberg,7/28/2007 0:00
Survival on the Titanic,All the children who died were in third class.,Martin Wattenberg,7/28/2007 0:00
Survival on the Titanic,"Here's a view with bars, for comparison with the initial bubble...",Martin Wattenberg,7/28/2007 0:00
Survival on the Titanic,"Wow, the new matrix plot is really cool!",Matt McKeon,7/29/2007 0:00
Survival on the Titanic,Nice work!,Eric Gilbert,7/30/2007 0:00
Survival on the Titanic,I was told by a Titanic buff that the only girl...,EagerEyes,8/1/2007 0:00
Survival on the Titanic,it was not right!if we could recognize the most of...,,8/21/2007 0:00
Survival on the Titanic,"When you look at the proportion who survived, by age and...",pick,9/6/2008 0:00
Survival on the Titanic,"Hi, Pick, where did you get this data set from?",,12/27/2008 0:00
Swing from 2004 to 2008,I suppose that the only 2 brown states (MA & RI)...,cgmusselman,11/4/2008 0:00
Swing from 2004 to 2008,This is very interesting!,,11/8/2008 0:00
SXSW History Wordle,Cool!,,10/19/2009 0:00
SXSW2008,test,,3/26/2008 0:00
"Synopsis of PersianKiwi, June 17 to June 18",Removing RT from the layout and adding a bit of color....,,6/18/2009 0:00
"Synopsis of PersianKiwi, noon GMT, June 16","You can join the Topic Center discussion area, ""The #Iranelection channel...",gription,6/16/2009 0:00
Syracuse University iSchool course titles,"I removed four of the most frequently occurring terms (Information, Management,...",,10/27/2008 0:00
Syracuse University iSchool course titles,Definitely more interesting when you remove some of the behemoths out...,,10/27/2008 0:00
Syracuse University iSchool course titles,Go Orange (and Blue)!,,10/27/2008 0:00
Syracuse University iSchool course titles,"Another variation, nice job filtering out some of the words and...",,9/29/2009 0:00
Syracuse University student body by (non-American) nationality,NERD ALERT,,11/30/2009 0:00
Systems of Government Worldwide,We are one,Arlan Berglas,10/30/2008 0:00
Systems of Government Worldwide,www.aunitedworld.org,Arlan Berglas,10/30/2008 0:00
Systems of Government Worldwide,www.ipassiton.org,Arlan Berglas,10/30/2008 0:00
Systems of Government Worldwide,www.worldpeacepetition.org,Arlan Berglas,10/30/2008 0:00
szövegpróba ábra,lassú vagy,zsol.pal7,10/21/2009 0:00
szövegpróba ábra,dá széép,dexter22,10/21/2009 0:00
T,Test,Frank van Ham,10/8/2008 0:00
Tag cloud 5,2 words displayed...look at the frequency of two consecutive words occuring...,Sapana,7/30/2009 0:00
Tag cloud 5,2 words only... and all are selected.,Sapana,7/30/2009 0:00
Tag Cloud Corrupcion EAP01 a EAP15,goog,,6/23/2009 0:00
Tag Cloud for a thesis in Information System Development,what if you just fed it references and citations from the...,TurnerP,3/8/2007 0:00
Tag Cloud for a thesis in Information System Development,"Yes, some other filter options would be nice too (take out...",atkinson,3/9/2007 0:00
"Tag Cloud for Martin Amis Essay ""9/11 and the Cult of Death""","kind of makes you think he's a bit of a nutter,...",,10/13/2007 0:00
Tag cloud for Wikipedia CRM page,aitendant.com,,12/9/2009 0:00
"Tag Cloud of ""Leaves of Grass"" by Walt Whitman -- 1872 edition","I have never read ""Leaves of Grass"" by Walt Whitman, but...",AMorais,10/28/2008 0:00
"Tag Cloud of ""Leaves of Grass"" by Walt Whitman (1867 edition)",Comparing the 2-word version of this edition with the 2-word visualization...,Martin Wattenberg,3/11/2007 0:00
Tag Cloud of (almost) All Song Lyrics by Kate Bush,Oooh!,colm,3/12/2008 0:00
"Tag Cloud of 1855 edition of ""Leaves of Grass"" by Walt Whitman",The 2-word version seems incredibly different from the one-word version!,Martin Wattenberg,3/11/2007 0:00
Tag Cloud of 600+ Poems by William Butler Yeats,The one-word view is quite varied... but the two-word view is...,Martin Wattenberg,3/26/2007 0:00
Tag Cloud of 600+ Poems by William Butler Yeats,How the heck do you print the poems,,2/14/2008 0:00
Tag Cloud of A Names,Fantastic..want to learn more,,9/3/2008 0:00
Tag Cloud of AG Employee Absence,Cars problems seem to be the most popular excuse for being...,Fernanda B. Viegas,3/7/2007 0:00
Tag Cloud of AG Employee Absence,"Who gives ""slacking"" as an excuse for not showing up to...",Fernanda B. Viegas,3/7/2007 0:00
Tag Cloud of AKFF Kayak Ownership March 2008,"WIggy wiggy, Kraley gets jiggy!",,8/31/2008 0:00
Tag cloud of American newspaper editorial articles from March-April 2003,Important phrases: U.N. Security Council Postwar...,bren,4/23/2008 0:00
Tag Cloud of Chapter 8: Vision for the Future of Mental Health Report,"If you type the word ""stigma"" check out what you get,...",AAGie,6/4/2008 0:00
"Tag Cloud of Energy Policy Speech Sarah Palin Toledo, OH Oct 29","There was no mention of ""climate"" or ""global warming,"" in this...",Triggerfinger,10/30/2008 0:00
Tag Cloud of Favorites Clound,Rob RULES,,3/22/2007 0:00
Tag Cloud of George Bush speech on War and Bailout,George Bush's Economic speech September 25 2008 and George Bush's War...,Triggerfinger,10/13/2008 0:00
Tag Cloud of Gonzales' 4/19 Senate Testimony,"The phrase ""I don't recall"" is mighty big!",,4/21/2007 0:00
Tag Cloud of Gonzales' 4/19 Senate Testimony,"Wow, a truly amazing visualization... Good job",DoomBW,4/21/2007 0:00
Tag Cloud of McCain Obama Presidential debate transcript,No mention of God,Triggerfinger,10/8/2008 0:00
Tag Cloud of McCain Obama Presidential debate transcript,Awesome,,10/9/2008 0:00
Tag Cloud of McCain Obama Presidential debate transcript,thanks,,10/9/2008 0:00
Tag Cloud of McCain Obama Presidential debate transcript,How did you create the comparison? Did you mark up the...,kellymk,10/17/2008 0:00
Tag Cloud of McCain Obama Presidential debate transcript,The instructions for making a comparison tag cloud are a bit...,Martin Wattenberg,10/18/2008 0:00
Tag Cloud of McCain Obama Presidential debate transcript,"I was introduced to this site yesterday, and I find it...",ThaiBinh!,10/24/2008 0:00
Tag Cloud of McCain Obama Presidential debate transcript,test,Irene Ros,10/28/2009 0:00
Tag Cloud of Nouns by frequency in McDonald's Open for Discussion web log,This cloud shows all nouns from McDonald's Open for Discussion web...,Cornelius Puschmann,5/10/2007 0:00
Tag Cloud of PRUEBA,Nice data set! Look how beautiful it looks with almost...,,2/22/2008 0:00
Tag Cloud of research,"Interesting, I've always heard sometimes you can quickly spot things using...",,4/11/2007 0:00
Tag cloud of surnames in genealogy database,Not surprising from my genealogy database that Scudder would be the...,Jim P.,6/11/2007 0:00
Tag Cloud of Text messages,hello hello,Mette,2/9/2008 0:00
Tag cloud of words in my Makefile dependencies,This is only my second or third attempt here.,SlowWalker,6/27/2007 0:00
"Tag Cloud of Youtube/CNN Rebublican Debate: November 28, 2007","Hmmm, wonder what the focus was...",Frank van Ham,12/4/2007 0:00
"Tag Cloud of Youtube/CNN Rebublican Debate: November 28, 2007",European nations on YouTube http://hvg.hu/english/20080213_you_tube_youtube_survey_nation_european.aspx,,2/13/2008 0:00
Tag Cloud SDS 2 - 2Column Table Dataset,test,Kajol,9/24/2009 0:00
Tag Cloud TOTAAL OORDEEL,Code description Codes applied Bad aftertaste -9 Bad taste...,,4/9/2009 0:00
Tag cloud visualization for a conversation with 5 teenagers about web 2.0,best way to use this in my experience is to search...,chompi,6/12/2007 0:00
Tag Cloud: Word Frequency in Media Release about WITS,"This is just for fun... In a way, it's an...",0c73d86e-ad2f-11dd-84b8-000255111976,6/22/2007 0:00
tag cloud3,This is none selection mode.. where the text in the first...,Sapana,7/30/2009 0:00
tag cloud3,White has the max occurance valu:10,Sapana,7/30/2009 0:00
Tagcloud of British newspaper editorials about the Iraq War from March-April 2003,Important phrases Sun Tzu Comparisons between Iraq...,bren,4/23/2008 0:00
Tagcloud4,1 word display for two fragments.,Sapana,7/30/2009 0:00
Talk about a cloud of tags!,I've highlighted some of the tags that are directly related to...,Fernanda B. Viegas,1/23/2007 0:00
Talk about a cloud of tags!,np = non profit? Judging from the size of the biggest...,DrDutch,1/23/2007 0:00
Talk about a cloud of tags!,"The problem is that the data, without any context, is useless....",Anonymous,1/24/2007 0:00
Talk about a cloud of tags!,"dataset icon Data file: Tags associated with the tag ""nptech"" in...",Anonymous,1/24/2007 0:00
Tar content for cigarette,This is a visualization of the nicotine content.,yz_gsu,10/20/2009 0:00
Tax & Spend scatterplot,I miss the Clinton years!,,8/27/2007 0:00
Tea Party Protests by City,Just how big is the Tea Party movement? Here is one...,TeaPartyPatriot,12/23/2009 0:00
Teacher's Maximum Base Salary,"What does ""master's degree + 36 hours"" mean? From the graph...",Anonymous,2/1/2007 0:00
Teacher's Maximum Base Salary,It means you have an additional 36 credit hours of post-Masters...,Anonymous,2/1/2007 0:00
Teacher's Maximum Base Salary,"In each year that 36-hour credential resulted in exactly a $2,000...",Anonymous,2/1/2007 0:00
Teacher's Maximum Base Salary - MDCPS line graph,"The lower the education level, the faster the rise in pay....",Anonymous,2/1/2007 0:00
Teacher's Maximum Base Salary - MDCPS line graph,And especially between BA and MA.,grjenkin,2/1/2007 0:00
Teacher's Maximum Base Salary - MDCPS line graph,Do you know why that is? Is it due to a...,Anonymous,2/1/2007 0:00
Teamwork,How do you like this one?,Snoflake,11/2/2009 0:00
Tech careers,Big difference,,1/15/2009 0:00
Techcrunch on Microsoft,Click around the tree to see how Techcrunch talks about the...,,2/22/2008 0:00
Technological Dessert,Data corresponds to my personal usage,ITEMdefect,1/30/2008 0:00
